dt_abertura;Semana;Ano;Mes;Dia;CurYTDFlag;LastYTDFlag;MesAno;Trimestre;SemanaAno;DiaSemana
01/01/1942;1;1942;jan;1;0;0;jan-1942;1º Trimestre;53-1942;qui
02/01/1942;1;1942;jan;2;0;0;jan-1942;1º Trimestre;53-1942;sex
03/01/1942;1;1942;jan;3;0;0;jan-1942;1º Trimestre;53-1942;sáb
04/01/1942;2;1942;jan;4;0;0;jan-1942;1º Trimestre;2-1942;dom
05/01/1942;2;1942;jan;5;0;0;jan-1942;1º Trimestre;2-1942;seg
06/01/1942;2;1942;jan;6;0;0;jan-1942;1º Trimestre;2-1942;ter
07/01/1942;2;1942;jan;7;0;0;jan-1942;1º Trimestre;2-1942;qua
08/01/1942;2;1942;jan;8;0;0;jan-1942;1º Trimestre;2-1942;qui
09/01/1942;2;1942;jan;9;0;0;jan-1942;1º Trimestre;2-1942;sex
10/01/1942;2;1942;jan;10;0;0;jan-1942;1º Trimestre;2-1942;sáb
11/01/1942;3;1942;jan;11;0;0;jan-1942;1º Trimestre;3-1942;dom
12/01/1942;3;1942;jan;12;0;0;jan-1942;1º Trimestre;3-1942;seg
13/01/1942;3;1942;jan;13;0;0;jan-1942;1º Trimestre;3-1942;ter
14/01/1942;3;1942;jan;14;0;0;jan-1942;1º Trimestre;3-1942;qua
15/01/1942;3;1942;jan;15;0;0;jan-1942;1º Trimestre;3-1942;qui
16/01/1942;3;1942;jan;16;0;0;jan-1942;1º Trimestre;3-1942;sex
17/01/1942;3;1942;jan;17;0;0;jan-1942;1º Trimestre;3-1942;sáb
18/01/1942;4;1942;jan;18;0;0;jan-1942;1º Trimestre;4-1942;dom
19/01/1942;4;1942;jan;19;0;0;jan-1942;1º Trimestre;4-1942;seg
20/01/1942;4;1942;jan;20;0;0;jan-1942;1º Trimestre;4-1942;ter
21/01/1942;4;1942;jan;21;0;0;jan-1942;1º Trimestre;4-1942;qua
22/01/1942;4;1942;jan;22;0;0;jan-1942;1º Trimestre;4-1942;qui
