pk_cnae;nu_ordem_1;nu_ordem_2;nu_ordem_3;nu_ordem_4;nu_ordem_5;cd_ramo_atividade_1;cd_ramo_atividade_2;cd_ramo_atividade_3;cd_ramo_atividade_4;cd_ramo_atividade_5;de_ramo_atividade_1;de_ramo_atividade_2;de_ramo_atividade_3;de_ramo_atividade_4;de_ramo_atividade_5
1;0;1;2;3;4;1093701;4789099;7319003;8230001;9609202;AGENCIAS MATRIMONIAIS;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;FABRICACAO DE PRODUTOS DERIVADOS DO CACAU E DE CHOCOLATES;MARKETING DIRETO;SERVICOS DE ORGANIZACAO DE FEIRAS CONGRESSOS EXPOSICOES E FESTAS
2;0;1;2;;;4530706;4542101;4613300;;;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE MADEIRA MATERIAL DE CONSTRUCAO E FERRAGENS;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE MOTOCICLETAS E MOTONETAS PECAS E ACESSORIOS;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE PECAS E ACESSORIOS NOVOS E USADOS PARA VEICULOS AUTOMOTORES;;
2793;0;1;2;3;4;4741500;4742300;4744001;4744004;4744099;COMERCIO VAREJISTA DE CAL AREIA PEDRA BRITADA TIJOLOS E TELHAS;COMERCIO VAREJISTA DE FERRAGENS E FERRAMENTAS;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;COMERCIO VAREJISTA DE MATERIAL ELETRICO;COMERCIO VAREJISTA DE TINTAS E MATERIAIS PARA PINTURA
2789;0;1;2;3;4;4541203;4541204;4541205;4543900;4732600;COMERCIO A VAREJO DE MOTOCICLETAS E MOTONETAS NOVAS;COMERCIO A VAREJO DE MOTOCICLETAS E MOTONETAS USADAS;COMERCIO A VAREJO DE PECAS E ACESSORIOS PARA MOTOCICLETAS E MOTONETAS;COMERCIO VAREJISTA DE LUBRIFICANTES;MANUTENCAO E REPARACAO DE MOTOCICLETAS E MOTONETAS
2774;0;1;2;3;4;4751200;4772500;4781400;4789001;4789099;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;COMERCIO VAREJISTA DE COSMETICOS PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;COMERCIO VAREJISTA DE SUVENIRES BIJUTERIAS E ARTESANATOS;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA
2775;0;1;2;3;4;4789099;9603302;9603303;9603304;9603305;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;SERVICOS DE CREMACAO;SERVICOS DE FUNERARIAS;SERVICOS DE SEPULTAMENTO;SERVICOS DE SOMATOCONSERVACAO
2771;0;1;2;3;4;4755503;4761003;4781400;4782201;4782202;COMERCIO VAREJISTA DE ARTIGOS DE CAMA MESA E BANHO;COMERCIO VAREJISTA DE ARTIGOS DE PAPELARIA;COMERCIO VAREJISTA DE ARTIGOS DE VIAGEM;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;COMERCIO VAREJISTA DE CALCADOS
2785;0;1;;;;3211601;4649410;;;;COMERCIO ATACADISTA DE JOIAS RELOGIOS E BIJUTERIAS INCLUSIVE PEDRAS PRECIOSAS E SEMIPRECIOSAS LAPIDADAS;LAPIDACAO DE GEMAS;;;
2811;0;1;2;3;4;7420001;7420004;7729202;8230001;9001906;ALUGUEL DE MOVEIS UTENSILIOS E APARELHOS DE USO DOMESTICO E PESSOAL INSTRUMENTOS MUSICAIS;ATIVIDADES DE PRODUCAO DE FOTOGRAFIAS EXCETO AEREA E SUBMARINA;ATIVIDADES DE SONORIZACAO E DE ILUMINACAO;FILMAGEM DE FESTAS E EVENTOS;SERVICOS DE ORGANIZACAO DE FEIRAS CONGRESSOS EXPOSICOES E FESTAS
2803;0;1;2;3;4;1811302;1813099;4651601;8219901;8599603;COMERCIO ATACADISTA DE EQUIPAMENTOS DE INFORMATICA;FOTOCOPIAS;IMPRESSAO DE LIVROS REVISTAS E OUTRAS PUBLICACOES PERIODICAS;IMPRESSAO DE MATERIAL PARA OUTROS USOS;TREINAMENTO EM INFORMATICA
2822;0;1;2;3;4;4712100;4721102;4723700;4743100;4784900;COMERCIO VAREJISTA DE BEBIDAS;COMERCIO VAREJISTA DE GAS LIQUEFEITO DE PETROLEO GLP;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS MERCEARIAS E ARMAZENS;COMERCIO VAREJISTA DE VIDROS;PADARIA E CONFEITARIA COM PREDOMINANCIA DE REVENDA
2832;0;1;2;;;7020400;7311400;8230001;;;AGENCIAS DE PUBLICIDADE;ATIVIDADES DE CONSULTORIA EM GESTAO EMPRESARIAL EXCETO CONSULTORIA TECNICA ESPECIFICA;SERVICOS DE ORGANIZACAO DE FEIRAS CONGRESSOS EXPOSICOES E FESTAS;;
5;0;1;;;;4789099;9329899;;;;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;OUTRAS ATIVIDADES DE RECREACAO E LAZER NAO ESPECIFICADAS ANTERIORMENTE;;;
2844;0;1;;;;1813001;8219999;;;;IMPRESSAO DE MATERIAL PARA USO PUBLICITARIO;PREPARACAO DE DOCUMENTOS E SERVICOS ESPECIALIZADOS DE APOIO ADMINISTRATIVO NAO ESPECIFICADOS ANTERIORMENTE;;;
2848;0;1;2;;;4723700;4784900;5611203;;;COMERCIO VAREJISTA DE BEBIDAS;COMERCIO VAREJISTA DE GAS LIQUEFEITO DE PETROLEO GLP;LANCHONETES CASAS DE CHA DE SUCOS E SIMILARES;;
2854;0;1;2;3;;0810006;4679604;4744004;4930202;;COMERCIO ATACADISTA ESPECIALIZADO DE MATERIAIS DE CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE;COMERCIO VAREJISTA DE CAL AREIA PEDRA BRITADA TIJOLOS E TELHAS;EXTRACAO DE AREIA CASCALHO OU PEDREGULHO E BENEFICIAMENTO ASSOCIADO;TRANSPORTE RODOVIARIO DE CARGA EXCETO PRODUTOS PERIGOSOS E MUDANCAS INTERMUNICIPAL INTERESTADUAL E INTERNACIONAL;
2864;0;1;2;3;4;0111302;0113000;0151201;0151202;0151203;CRIACAO DE BOVINOS PARA CORTE;CRIACAO DE BOVINOS PARA LEITE;CRIACAO DE BOVINOS EXCETO PARA CORTE E LEITE;CULTIVO DE CANADEACUCAR;CULTIVO DE MILHO
2869;0;1;;;;4649499;4774100;;;;COMERCIO ATACADISTA DE OUTROS EQUIPAMENTOS E ARTIGOS DE USO PESSOAL E DOMESTICO NAO ESPECIFICADOS ANTERIORMENTE;COMERCIO VAREJISTA DE ARTIGOS DE OPTICA;;;
11;0;;;;;4633801;;;;;COMERCIO ATACADISTA DE FRUTAS VERDURAS RAIZES TUBERCULOS HORTALICAS E LEGUMES FRESCOS;;;;
12;0;1;2;3;;9430800;9491000;9493600;9499500;;ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE;ATIVIDADES DE ASSOCIACOES DE DEFESA DE DIREITOS SOCIAIS;ATIVIDADES DE ORGANIZACOES ASSOCIATIVAS LIGADAS A CULTURA E A ARTE;ATIVIDADES DE ORGANIZACOES RELIGIOSAS OU FILOSOFICAS;
13;0;1;;;;4222701;4321500;;;;CONSTRUCAO DE REDES DE ABASTECIMENTO DE AGUA COLETA DE ESGOTO E CONSTRUCOES CORRELATAS EXCETO OBRAS DE IRRIGACAO;INSTALACAO E MANUTENCAO ELETRICA;;;
2876;0;1;2;3;4;4930201;4930204;7319002;7319099;9609299;OUTRAS ATIVIDADES DE PUBLICIDADE NAO ESPECIFICADAS ANTERIORMENTE;OUTRAS ATIVIDADES DE SERVICOS PESSOAIS NAO ESPECIFICADAS ANTERIORMENTE;PROMOCAO DE VENDAS;TRANSPORTE RODOVIARIO DE CARGA EXCETO PRODUTOS PERIGOSOS E MUDANCAS MUNICIPAL;TRANSPORTE RODOVIARIO DE MUDANCAS
2925;0;1;2;3;4;4687701;4687702;4687703;4930202;4930203;COMERCIO ATACADISTA DE RESIDUOS DE PAPEL E PAPELAO;COMERCIO ATACADISTA DE RESIDUOS E SUCATAS METALICOS;COMERCIO ATACADISTA DE RESIDUOS E SUCATAS NAOMETALICOS EXCETO DE PAPEL E PAPELAO;TRANSPORTE RODOVIARIO DE CARGA EXCETO PRODUTOS PERIGOSOS E MUDANCAS INTERMUNICIPAL INTERESTADUAL E INTERNACIONAL;TRANSPORTE RODOVIARIO DE PRODUTOS PERIGOSOS
2930;0;1;2;;;4615000;4618401;4618499;;;OUTROS REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO ESPECIALIZADO EM PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE ELETRODOMESTICOS MOVEIS E ARTIGOS DE USO DOMESTICO;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE MEDICAMENTOS COSMETICOS E PRODUTOS DE PERFUMARIA;;
2932;0;1;2;;;4723700;4729699;5612100;;;COMERCIO VAREJISTA DE BEBIDAS;COMERCIO VAREJISTA DE PRODUTOS ALIMENTICIOS EM GERAL OU ESPECIALIZADO EM PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE;SERVICOS AMBULANTES DE ALIMENTACAO;;
2944;0;1;2;3;4;4623108;4623109;4661300;4683400;4692300;COMERCIO ATACADISTA DE ALIMENTOS PARA ANIMAIS;COMERCIO ATACADISTA DE DEFENSIVOS AGRICOLAS ADUBOS FERTILIZANTES E CORRETIVOS DO SOLO;COMERCIO ATACADISTA DE MAQUINAS APARELHOS E EQUIPAMENTOS PARA USO AGROPECUARIO PARTES E PECAS;COMERCIO ATACADISTA DE MATERIASPRIMAS AGRICOLAS COM ATIVIDADE DE FRACIONAMENTO E ACONDICIONAMENTO ASSOCIADA;COMERCIO ATACADISTA DE MERCADORIAS EM GERAL COM PREDOMINANCIA DE INSUMOS AGROPECUARIOS
2970;0;1;2;;;4120400;4321500;4322301;;;CONSTRUCAO DE EDIFICIOS;INSTALACAO E MANUTENCAO ELETRICA;INSTALACOES HIDRAULICAS SANITARIAS E DE GAS;;
3027;0;1;2;3;;2532201;4292801;4330402;9529199;;INSTALACAO DE PORTAS JANELAS TETOS DIVISORIAS E ARMARIOS EMBUTIDOS DE QUALQUER MATERIAL;MONTAGEM DE ESTRUTURAS METALICAS;PRODUCAO DE ARTEFATOS ESTAMPADOS DE METAL;REPARACAO E MANUTENCAO DE OUTROS OBJETOS E EQUIPAMENTOS PESSOAIS E DOMESTICOS NAO ESPECIFICADOS ANTERIORMENTE;
21;0;;;;;4530705;;;;;COMERCIO A VAREJO DE PNEUMATICOS E CAMARASDEAR;;;;
22;0;;;;;7420003;;;;;LABORATORIOS FOTOGRAFICOS;;;;
3035;0;1;2;;;3321000;4322301;4789005;;;COMERCIO VAREJISTA DE PRODUTOS SANEANTES DOMISSANITARIOS;INSTALACAO DE MAQUINAS E EQUIPAMENTOS INDUSTRIAIS;INSTALACOES HIDRAULICAS SANITARIAS E DE GAS;;
3046;0;1;2;3;4;4751200;8219999;8599603;8599604;8599699;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA;OUTRAS ATIVIDADES DE ENSINO NAO ESPECIFICADAS ANTERIORMENTE;PREPARACAO DE DOCUMENTOS E SERVICOS ESPECIALIZADOS DE APOIO ADMINISTRATIVO NAO ESPECIFICADOS ANTERIORMENTE;TREINAMENTO EM DESENVOLVIMENTO PROFISSIONAL E GERENCIAL;TREINAMENTO EM INFORMATICA
3048;0;1;2;3;4;4299501;4744002;4744099;4789099;8121400;COMERCIO VAREJISTA DE MADEIRA E ARTEFATOS;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;CONSTRUCAO DE INSTALACOES ESPORTIVAS E RECREATIVAS;LIMPEZA EM PREDIOS E EM DOMICILIOS
25;0;1;2;3;;0210107;0210108;0220901;0220902;;EXTRACAO DE MADEIRA EM FLORESTAS NATIVAS;EXTRACAO DE MADEIRA EM FLORESTAS PLANTADAS;PRODUCAO DE CARVAO VEGETAL  FLORESTAS NATIVAS;PRODUCAO DE CARVAO VEGETAL  FLORESTAS PLANTADAS;
3070;0;1;2;3;;1096100;4723700;5620101;5620104;;COMERCIO VAREJISTA DE BEBIDAS;FABRICACAO DE ALIMENTOS E PRATOS PRONTOS;FORNECIMENTO DE ALIMENTOS PREPARADOS PREPONDERANTEMENTE PARA CONSUMO DOMICILIAR;FORNECIMENTO DE ALIMENTOS PREPARADOS PREPONDERANTEMENTE PARA EMPRESAS;
27;0;1;;;;7820500;8111700;;;;LOCACAO DE MAODEOBRA TEMPORARIA;SERVICOS COMBINADOS PARA APOIO A EDIFICIOS EXCETO CONDOMINIOS PREDIAIS;;;
3074;0;1;2;;;4399103;4724500;5612100;;;COMERCIO VAREJISTA DE HORTIFRUTIGRANJEIROS;OBRAS DE ALVENARIA;SERVICOS AMBULANTES DE ALIMENTACAO;;
29;0;1;2;3;4;4321500;4751200;4751202;6190699;9511800;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA;INSTALACAO E MANUTENCAO ELETRICA;OUTRAS ATIVIDADES DE TELECOMUNICACOES NAO ESPECIFICADAS ANTERIORMENTE;RECARGA DE CARTUCHOS PARA EQUIPAMENTOS DE INFORMATICA;REPARACAO E MANUTENCAO DE COMPUTADORES E DE EQUIPAMENTOS PERIFERICOS
30;0;;;;;0139306;;;;;CULTIVO DE SERINGUEIRA;;;;
31;0;1;2;3;;8630501;8630502;8630503;8711501;;ATIVIDADE MEDICA AMBULATORIAL COM RECURSOS PARA REALIZACAO DE EXAMES COMPLEMENTARES;ATIVIDADE MEDICA AMBULATORIAL COM RECURSOS PARA REALIZACAO DE PROCEDIMENTOS CIRURGICOS;ATIVIDADE MEDICA AMBULATORIAL RESTRITA A CONSULTAS;CLINICAS E RESIDENCIAS GERIATRICAS;
3075;0;1;2;3;;4520001;4530702;4530703;4530705;;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES;COMERCIO A VAREJO DE PNEUMATICOS E CAMARASDEAR;COMERCIO POR ATACADO DE PNEUMATICOS E CAMARASDEAR;SERVICOS DE MANUTENCAO E REPARACAO MECANICA DE VEICULOS AUTOMOTORES;
2920;0;1;;;;4623109;4789004;;;;COMERCIO ATACADISTA DE ALIMENTOS PARA ANIMAIS;COMERCIO VAREJISTA DE ANIMAIS VIVOS E DE ARTIGOS E ALIMENTOS PARA ANIMAIS DE ESTIMACAO;;;
