pk_location;nm_logradouro;nu_logradouro;cd_cep;nm_bairro;nm_municipio;sg_uf;latitude;longitude;municipio_uf_pais
1;ALAMEDA DAS ANDORINHAS CONDOMINIO ARUA ACAMPAR;59;04880230;RECANTO CAMPO BELO;SAO PAULO;SP;-23,5505199;-46,6333094;SAO PAULO, SP, BR
2;RUA DO CRUZEIRO;495;45604620;JOAO SOARES;ITABUNA;BA;-14,7809311;-39,2636;ITABUNA, BA, BR
3;RUA VITOR DE QUEIROZ MATOS;105;03263010;PARQUE SAO LUCAS;SAO PAULO;SP;-23,5907593;-46,5486725;SAO PAULO, SP, BR
4;RUA ANTONIO GALDINO MARCA;167;36660000;VILA CAXIAS;ALEM PARAIBA;MG;-21,8833835;-42,6985095;ALEM PARAIBA, MG, BR
5;RUA PORTAO DA PIEDADE;155;40070045;BARRIS;SALVADOR;BA;-12,9830488;-38,5136913;SALVADOR, BA, BR
6;AVENIDA CANDIDO PORTINARI;970;05114001;VILA JAGUARA;SAO PAULO;SP;-23,5072955;-46,7555407;SAO PAULO, SP, BR
7;RUA 24 DE MAIO;574;83323060;VILA TARUMA;PINHAIS;PR;-25,4387247;-49,1949172;PINHAIS, PR, BR
8;RUA DESEMBARGADOR JAIME;141;75020040;SETOR CENTRAL;ANAPOLIS;GO;-16,3273047;-48,9533426;ANAPOLIS, GO, BR
9;RUA VAIL JUSTINIANO TOLEDO;113;19700000;JARDIM MURILO MACEDO;PARAGUACU PAULISTA;SP;-22,432076;-50,5803154;PARAGUACU PAULISTA, SP, BR
10;RUA PARAENSE;SN;77930000;CENTRO;AXIXA DO TOCANTINS;TO;-5,6149591;-47,7708204;AXIXA DO TOCANTINS, TO, BR
11;AVENIDA ESTADO;623;75074590;RECANTO DO SOL;ANAPOLIS;GO;-16,2806113;-48,9319839;ANAPOLIS, GO, BR
12;RUA ANTONIO CHICALHONE;218;13290000;JARDIM LAGO AZUL SANTO ANTONIO;LOUVEIRA;SP;-23,0864185;-46,9770708;LOUVEIRA, SP, BR
13;RUA AMANARU;152;21031590;RAMOS;RIO DE JANEIRO;RJ;-22,8492135;-43,2540858;RIO DE JANEIRO, RJ, BR
14;ESTRADA VARGEM GRANDE;115;89135000;VARGEM GRANDE;APIUNA;SC;-27,0337085;-49,3872519;APIUNA, SC, BR
15;AVENIDA EXPEDITO GARCIA;104;29146200;CAMPO GRANDE;CARIACICA;ES;-20,3433882;-40,3875092;CARIACICA, ES, BR
16;RUA HARROLD LAFFIN;208;89108000;GUARANI MIRIM;MASSARANDUBA;SC;-26,6109126;-49,0091505;MASSARANDUBA, SC, BR
17;RUA BATISTA RAFFI;803;13068601;JARDIM APARECIDA;CAMPINAS;SP;-22,8525901;-47,1565107;CAMPINAS, SP, BR
18;AVENIDA DOM PEDRO II;3180;30720460;CAICARAS;BELO HORIZONTE;MG;-19,9120148;-43,9711978;BELO HORIZONTE, MG, BR
